gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
b3153	183.81081409420167	3.321128801029519	0.3021724853213466	11.103891002203948	1.2009893308795e-28	4.985356753702924e-27
b2344	2979.937075363579	-1.7645316914232134	0.1612622800788078	-11.100409446573426	1.2487051227003763e-28	5.1299896020216494e-27
b2030	794.1629218284642	-1.61634187840864	0.14778922923835774	-11.091700754030814	1.3764556566600995e-28	5.5971181548882614e-27
b0269	864.2592468878139	-2.074854398064663	0.19020014301656743	-11.088580002832472	1.4253229189288453e-28	5.737284678718635e-27
b0753	417.63191421114476	2.8888058744015557	0.26531884876979095	11.068382953485592	1.7859411976625093e-28	7.1169756726851e-27
b1531	301.3615460468857	2.283784887149615	0.20895784003197004	11.050172762881214	2.1879342368815115e-28	8.632592013834479e-27
b3665	480.42642227453797	-2.167062204342981	0.19972642714594194	-11.040251397007449	2.443485521001938e-28	9.546362550188944e-27
b1331	795.8564359809269	-1.6312081470677835	0.15041791527797113	-11.0014871344298	3.758812442092732e-28	1.4542589885184017e-26
b0030	3190.7958871572755	-1.5724698100002443	0.14477463308381266	-10.998098194599732	3.902759629718901e-28	1.4954324158105596e-26
b2799	391.79521305447275	-1.93649942935464	0.17923875682731977	-10.986027056020461	4.4613495589713685e-28	1.693188380238181e-26
b4291	4037.9099734629162	-2.438951896249085	0.22596179185364618	-10.983442786124648	4.590873655319675e-28	1.725908633627255e-26
b3566	164.4796082822006	-2.5539285821641697	0.2370177771958227	-10.979170046319116	4.813254666432956e-28	1.792599985582741e-26
b0656	828.727727806644	-1.5561762580044656	0.14424430673396682	-10.94196152235942	7.261166154805258e-28	2.679235845083236e-26
b3003	1594.823573078058	2.402761297837839	0.22375380579019274	10.919437309321296	9.30706092520568e-28	3.4026273199031776e-26
b3114	331.120736597256	-3.0561713758322906	0.2856095912799253	-10.91824360446684	9.430176260643331e-28	3.4162956726057886e-26
b4213	1812.522121685246	-1.4367123658811058	0.1334205057744877	-10.91145475473907	1.0161702662766739e-27	3.648142802804095e-26
b1388	147.31799538840374	-3.3575943823252525	0.31430098206687723	-10.882951325046903	1.38988629403115e-27	4.9452650729590476e-26
b1896	5056.5342892004055	1.5600664105163844	0.14633263284574563	10.80801062232602	3.1543643435217427e-27	1.1124019388437297e-25
b0162	263.5259387894183	-2.1026330539340288	0.19936623518409263	-10.724791001013463	7.786289634393962e-27	2.721786332724556e-25
b3515	822.0731594928078	1.9837152886368348	0.188303802180833	10.705983806600269	9.541175153917984e-27	3.3062246076837533e-25
b4151	1643.9196205120907	-1.3904723614964338	0.1319678409312439	-10.675832928099204	1.3206773683543453e-26	4.5369821662862635e-25
b2982	808.6718954872723	-1.5525537227010444	0.14773983697190538	-10.661213571208012	1.5456722871100656e-26	5.264533388148387e-25
b2678	1626.0917839521953	-1.8848925278651425	0.1801759178535457	-10.636498735212877	2.0156169778921553e-26	6.806977675339185e-25
b0552	827.7235811618708	-1.5328169547539185	0.1462862902318417	-10.633326285832613	2.0853929691673472e-26	6.9834378001108215e-25
b2341	1717.0863981872915	-1.7487523111247407	0.16715508698751688	-10.625987891977047	2.2561065902543036e-26	7.4921539684695e-25
b4323	1345.7700146228974	-1.65032566335553	0.1577165813261932	-10.620548983917317	2.391504929265039e-26	7.876154663736514e-25
b3516	620.3600922254376	2.4625805737287547	0.23719412178734875	10.606994627738983	2.765001051724145e-26	9.03158130419731e-25
b1468	1963.9030005502555	1.5986594126180376	0.15406662955786063	10.53463632105609	5.981402548162099e-26	1.937877167026501e-24
b4322	1532.5576176324894	-1.6087749448711959	0.1554113136903321	-10.511332431293168	7.660351082153903e-26	2.4618144405147827e-24
b2796	3257.802539524709	-1.6243259168068067	0.1582367624644375	-10.424062917093762	1.9254794971725084e-25	6.138428636985957e-24
b1994	559.9516590465545	-1.5516394734264278	0.15157389320618406	-10.398505615029611	2.5185184159077845e-25	7.965314196343271e-24
b3505	812.1980772495698	-1.541985032801395	0.1509597058556139	-10.374959252055195	3.223498742348196e-25	1.0114679124612252e-23
b2048	89.31692725186299	3.308482489148936	0.3265901184972804	10.360100257262038	3.7656712209874887e-25	1.1723593605964955e-23
b2428	324.35518657862923	-1.9887935571972848	0.19665690241294143	-10.313303905210198	6.135504181897943e-25	1.8953476096793258e-23
b2059	64.3813209104791	4.479881542808141	0.438875168008416	10.287133834549433	8.053805071486499e-25	2.4688010161441304e-23
b1634	2442.7647573401905	-1.4454012316606997	0.14265284574667286	-10.285348559242001	8.20446776907446e-25	2.4957865694474596e-23
b1930	630.8879737484561	-2.107511431125832	0.2092439069939554	-10.274136488806073	9.216607500946708e-25	2.782437946308532e-23
b0978	415.78921312158224	2.9703856341109436	0.2953093548815196	10.253069220032305	1.14644217547076e-24	3.435016593421788e-23
b4067	2875.306089918466	-2.391777938216969	0.2396816843513037	-10.183706575383063	2.3445691233820088e-24	6.972468624386048e-23
b4376	11230.149360328402	1.4454137600063572	0.1444115531288764	10.179239893625587	2.4547125511729604e-24	7.245947789943887e-23
b2077	226.00465432561785	2.1673777067380837	0.2157331063731705	10.175456540259527	2.5520043251441104e-24	7.477747967425941e-23
b4021	463.21962281597774	-1.6495265829923873	0.16523360903214326	-10.15801747137879	3.0521953055536338e-24	8.878100943526446e-23
b2050	70.40861622795289	3.8714638885907364	0.38800817943606475	10.12605546891617	4.2338588961135015e-24	1.2226034565950945e-22
b1465	208.98732088168686	1.9913193335888317	0.20176391569270447	10.075319853569706	7.102930771943329e-24	2.0363438220283573e-22
b4057	356.3779253492125	1.775522610853796	0.17975587020160685	10.041017352571044	1.0063086481275585e-23	2.864385687705943e-22
b1897	671.4181191111088	1.8397451622737542	0.18642668927806635	10.02717437921337	1.1578258880315773e-23	3.2492508195815743e-22
b2876	271.0829364512393	-3.046060848535869	0.31070507950745707	-10.027419717879708	1.154953317528447e-23	3.2492508195815743e-22
b4350	5852.062385566543	-1.410394564695838	0.14324315052742412	-9.997770820452159	1.5586610799927974e-23	4.343541541098809e-22
b2165	75.61242700368399	-3.1701514528156	0.32524125997179626	-9.969509090127827	2.0725065550983615e-23	5.735374043102063e-22
b2677	1637.1035927102096	-1.6643035288696346	0.16992185279183147	-9.964601302996227	2.177457493621343e-23	5.984253870400726e-22
b1481	108.633124853401	7.463550999242135	0.7330952071209752	9.945009540407161	2.6514861984946566e-23	7.237104452740552e-22
